model,gamma,f,accuracy
snn_atan12,1.0,0,0.9683933333333332
snn_atan12,1.0,1,0.9681866666666668
snn_atan12,1.0,2,0.9684533333333334
snn_atan12,1.0,3,0.9690199999999999
snn_atan12,1.0,4,0.96966
snn_atan12,1.0,5,0.96998
snn_atan12,0.66,0,0.9678933333333333
snn_atan12,0.66,1,0.9719533333333332
snn_atan12,0.66,2,0.9707266666666667
snn_atan12,0.66,3,0.9705199999999999
snn_atan12,0.66,4,0.9699533333333333
snn_atan12,0.66,5,0.9669866666666666
snn_atan12,0.33,0,0.9679800000000001
snn_atan12,0.33,1,0.9617466666666667
snn_atan12,0.33,2,0.48718666666666666
snn_atan12,0.33,3,0.4669333333333334
snn_atan12,0.33,4,0.12623333333333334
snn_atan12,0.33,5,0.10005333333333333
snn_atan12,0.0,0,0.9684933333333333
snn_atan12,0.0,1,0.7445199999999998
snn_atan12,0.0,2,0.1469
snn_atan12,0.0,3,0.12241333333333335
snn_atan12,0.0,4,0.10708666666666666
snn_atan12,0.0,5,0.09872666666666666
cnn_relu,1.0,0,0.9737066666666667
cnn_relu,1.0,1,0.9693866666666668
cnn_relu,1.0,2,0.9631133333333335
cnn_relu,1.0,3,0.9554533333333334
cnn_relu,1.0,4,0.9466666666666667
cnn_relu,1.0,5,0.9392333333333334
cnn_relu,0.66,0,0.9736999999999998
cnn_relu,0.66,1,0.9222000000000001
cnn_relu,0.66,2,0.8899066666666666
cnn_relu,0.66,3,0.9292666666666667
cnn_relu,0.66,4,0.9096066666666667
cnn_relu,0.66,5,0.9035866666666668
cnn_relu,0.33,0,0.9740333333333334
cnn_relu,0.33,1,0.4918066666666667
cnn_relu,0.33,2,0.20057333333333333
cnn_relu,0.33,3,0.33909333333333336
cnn_relu,0.33,4,0.32430000000000003
cnn_relu,0.33,5,0.10042666666666666
cnn_relu,0.0,0,0.9738266666666666
cnn_relu,0.0,1,0.10278000000000001
cnn_relu,0.0,2,0.10200666666666666
cnn_relu,0.0,3,0.09712000000000001
cnn_relu,0.0,4,0.09930666666666668
cnn_relu,0.0,5,0.09731333333333334
cnn_tanh,1.0,0,0.97708
cnn_tanh,1.0,1,0.9734666666666666
cnn_tanh,1.0,2,0.96994
cnn_tanh,1.0,3,0.9652733333333334
cnn_tanh,1.0,4,0.9606933333333332
cnn_tanh,1.0,5,0.9572666666666667
cnn_tanh,0.66,0,0.9770266666666666
cnn_tanh,0.66,1,0.9588733333333334
cnn_tanh,0.66,2,0.95436
cnn_tanh,0.66,3,0.7676533333333333
cnn_tanh,0.66,4,0.5396133333333333
cnn_tanh,0.66,5,0.6638266666666667
cnn_tanh,0.33,0,0.9771599999999999
cnn_tanh,0.33,1,0.8416866666666667
cnn_tanh,0.33,2,0.73696
cnn_tanh,0.33,3,0.5272
cnn_tanh,0.33,4,0.34302666666666665
cnn_tanh,0.33,5,0.10036
cnn_tanh,0.0,0,0.9770666666666667
cnn_tanh,0.0,1,0.7901666666666667
cnn_tanh,0.0,2,0.24728
cnn_tanh,0.0,3,0.18670000000000003
cnn_tanh,0.0,4,0.10026666666666668
cnn_tanh,0.0,5,0.09893333333333335
