arch,gamma,N,CV_eff,CV_eff_act,Pi,cos_mean,scale,sigma_H,g_N,g_CV_eff,g_CV_eff_act,g_Pi,g_cos_mean,g_scale
ReLU (no clip),0.000000,0.295987,36.502419,36.462389,0.999509,-0.099334,3.532339,3.681524,0.376350,6.274896,6.249700,0.997440,-0.080978,3.667999
ReLU (no clip),0.330000,0.345501,19.356964,19.351281,0.999756,-0.092996,2.117309,2.236708,0.471240,3.405644,3.401945,0.999584,-0.013476,2.489875
ReLU (no clip),0.660000,0.357417,9.630160,9.628309,0.999801,-0.082713,0.957224,1.011308,0.407139,2.486527,2.484299,0.999669,0.068117,1.641444
ReLU (no clip),1.000000,0.174399,3.095655,3.095207,0.999818,0.000622,0.315063,0.303329,0.329911,2.128589,2.126670,0.999695,0.117480,1.349476
SNN θ=0.4,0.000000,0.377917,24.781041,24.766878,0.999428,-0.089492,1.549641,1.655550,0.479012,6.047353,6.039045,0.998559,-0.070381,1.619856
SNN θ=0.4,0.330000,0.369397,16.412866,16.408460,0.999668,-0.087164,1.042742,1.109612,0.443844,4.411309,4.409759,0.999647,-0.042853,1.213662
SNN θ=0.4,0.660000,0.356218,8.590995,8.588957,0.999689,-0.073880,0.543226,0.573165,0.360582,3.066958,3.066051,0.999689,0.012528,0.888442
SNN θ=0.4,1.000000,0.148018,2.596624,2.596098,0.999719,0.039569,0.183048,0.172255,0.296617,2.506007,2.505310,0.999704,0.060229,0.750273
SNN θ=0.6,0.000000,0.380180,25.141659,25.130502,0.999516,-0.088948,1.902795,2.034320,0.473579,6.209719,6.202659,0.998698,-0.071164,1.977080
SNN θ=0.6,0.330000,0.368923,17.096337,17.091675,0.999656,-0.088237,1.279927,1.362045,0.439079,4.594182,4.592788,0.999644,-0.046790,1.467957
SNN θ=0.6,0.660000,0.359813,8.979763,8.977566,0.999676,-0.075408,0.670992,0.709274,0.352574,3.150453,3.149620,0.999683,0.007413,1.062046
SNN θ=0.6,1.000000,0.147679,2.596635,2.596093,0.999708,0.040043,0.212712,0.200244,0.274966,2.560284,2.559643,0.999695,0.051596,0.875247
SNN θ=0.8,0.000000,0.389458,26.487413,26.475796,0.999505,-0.087608,2.342047,2.511837,0.463232,6.823605,6.816375,0.998735,-0.073062,2.412774
SNN θ=0.8,0.330000,0.376976,17.830161,17.824960,0.999633,-0.087741,1.576964,1.683056,0.430730,4.938657,4.937238,0.999645,-0.052644,1.773633
SNN θ=0.8,0.660000,0.371448,9.278801,9.276364,0.999657,-0.075291,0.822334,0.872801,0.344196,3.272169,3.271331,0.999680,0.000637,1.251272
SNN θ=0.8,1.000000,0.156942,2.538874,2.538340,0.999704,0.047665,0.247326,0.232445,0.252564,2.577707,2.577071,0.999691,0.048797,1.003315
SNN θ=1.0,0.000000,0.399379,27.727623,27.715021,0.999488,-0.085736,2.847950,3.064671,0.455669,7.525694,7.518054,0.998782,-0.073982,2.910889
SNN θ=1.0,0.330000,0.391149,18.393849,18.388419,0.999625,-0.085318,1.916629,2.055218,0.429154,5.270990,5.269548,0.999644,-0.055337,2.115305
SNN θ=1.0,0.660000,0.386337,9.577389,9.574785,0.999644,-0.072992,0.988957,1.054972,0.340094,3.406019,3.405181,0.999678,-0.006169,1.445492
SNN θ=1.0,1.000000,0.154231,2.417156,2.416639,0.999702,0.061440,0.280120,0.261272,0.234423,2.555342,2.554745,0.999689,0.049519,1.124458
Tanh,0.000000,0.375013,22.444039,22.431950,0.999328,-0.091002,1.283770,1.369774,0.406160,7.444777,7.440158,0.999140,-0.078985,1.349713
Tanh,0.330000,0.365177,15.042096,15.035431,0.999438,-0.089118,0.868934,0.923073,0.375928,5.347793,5.345884,0.999504,-0.062628,1.000681
Tanh,0.660000,0.352549,7.948438,7.945435,0.999502,-0.072453,0.468162,0.492596,0.304953,3.621546,3.620395,0.999549,-0.022566,0.715544
Tanh,1.000000,0.116752,2.204754,2.204149,0.999609,0.087173,0.147566,0.134921,0.216734,2.797884,2.797045,0.999569,0.020599,0.575697
